Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:33:21,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:23,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:25,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:27,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:29,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:31,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:33,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:35,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:37,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:39,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:41,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:43,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:45,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:47,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:49,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:51,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:53,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:55,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:57,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:59,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:01,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:03,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:05,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:07,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:09,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:11,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:13,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:15,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:17,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:19,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:21,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:34:23,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:25,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:27,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:29,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:31,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:33,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:34:35,b8:27:eb:a2:f4:62,Poste 4,56.0
